Cohesion,Phi,Unit_weight,Pe,Ps,FSs,FSgmp,slope_angle,slope_height
15.1167,10.7181,18.7992,91.4089,7.47394,0.497089,0.497594,75.0,15.0
5.35988,21.1792,16.2029,77.5917,5.72755,0.793457,0.795365,90.0,3.0
10.419,36.909,12.0734,78.2355,88.6954,2.76296,2.80465,75.0,15.0
16.7382,13.0027,16.0047,46.1405,7.22118,1.19475,1.19471,75.0,3.0
10.6314,16.4645,20.5581,13.911,41.1847,1.23591,1.25301,90.0,9.0
11.6367,25.3259,12.8428,27.1038,37.0617,2.4242,2.47449,90.0,6.0
8.58328,39.4925,12.9465,3.43176,1.72824,2.5731,2.57176,75.0,3.0
18.7831,15.1528,14.0188,66.2396,13.3562,1.29022,1.29128,75.0,3.0
19.6653,29.1155,12.8405,88.7399,70.557,2.35373,2.34826,90.0,9.0
14.4189,17.7269,12.9376,95.3558,1.27124,0.854705,0.85094,75.0,3.0
0.896741,13.4901,18.5306,68.5672,13.5204,0.434649,0.438928,90.0,3.0
1.983,15.8113,21.3713,31.1507,17.3971,0.541,0.541372,75.0,9.0
7.09641,42.1795,14.4226,78.9024,18.7166,1.80722,1.8116,75.0,6.0
10.1558,20.1539,12.7684,48.4145,1.00874,1.01314,1.01227,75.0,3.0
6.57632,24.5447,18.612,97.936,52.2529,1.09713,1.09737,90.0,12.0
16.8037,25.3653,21.8515,5.69918,25.7763,1.20598,1.21048,75.0,15.0
10.5394,44.631,14.6875,56.5149,4.68196,1.74023,1.74347,90.0,15.0
0.170412,30.1077,21.3039,68.4326,44.6385,1.26004,1.25929,75.0,9.0
2.24021,30.6511,19.5771,48.9867,0.481371,0.832931,0.83517,75.0,6.0
14.1473,31.4419,14.8472,18.5914,64.9311,2.85383,2.94372,75.0,12.0
7.53512,33.0119,20.674,97.0723,25.2825,1.34308,1.34604,75.0,6.0
19.61,38.822,17.3641,29.166,17.9271,2.62464,2.63675,75.0,6.0
1.10095,10.186,14.4675,28.3629,36.7804,0.462405,0.4619,90.0,12.0
0.515283,39.9998,14.4957,42.8346,26.2459,1.67458,1.67559,75.0,12.0
0.573922,37.297,18.5759,33.5526,28.3953,2.23239,2.23867,90.0,3.0
5.02108,19.8407,19.7935,78.6577,23.5824,0.70194,0.698734,60.0,15.0
4.79499,11.3831,12.2628,21.3268,14.6183,0.631571,0.63237,90.0,9.0
9.35315,41.3171,20.3688,57.8218,16.7186,2.13776,2.14145,75.0,3.0
13.4035,12.275,14.286,57.8086,115.074,1.35869,1.42315,90.0,12.0
4.37398,35.7078,17.507,96.9198,2.3565,1.05454,1.05292,75.0,3.0
9.63776,22.4734,13.4174,68.3721,60.8306,1.49911,1.49591,60.0,15.0
15.7637,14.3487,16.1803,79.501,23.5265,0.973377,0.974126,75.0,6.0
12.2838,25.2496,19.9503,40.9835,22.4966,1.47632,1.47721,75.0,6.0
15.6714,28.0994,13.9523,44.321,48.9659,2.32493,2.34028,75.0,9.0
13.2422,38.7437,19.1252,92.5164,0.263893,1.35339,1.35585,75.0,6.0
6.13197,24.2893,20.9301,85.8293,14.1246,0.915856,0.916385,90.0,9.0
6.86494,11.7153,16.7738,7.94611,14.1943,0.696385,0.698796,75.0,9.0
10.1885,27.0999,13.2249,80.9217,0.623166,0.88431,0.882671,75.0,15.0
3.20924,22.5811,15.5858,67.0984,56.2801,1.39013,1.39,90.0,6.0
8.29247,16.1781,14.025,23.6834,52.8129,1.81891,1.88194,90.0,6.0
4.82171,13.6663,19.1367,6.62224,59.3656,1.15819,1.18477,90.0,9.0
5.72464,35.2894,13.618,50.2958,13.8739,1.72542,1.72789,75.0,3.0
14.5837,30.4463,19.3737,32.0579,83.4935,2.85692,2.9536,90.0,9.0
15.9758,30.2219,12.7668,62.6059,28.8804,2.50135,2.50161,90.0,3.0
5.44077,27.2185,15.9753,72.5196,131.089,2.06991,2.15986,90.0,15.0
17.8046,19.0394,17.3174,56.2046,36.7972,1.62862,1.62836,90.0,6.0
8.31124,31.7205,14.6148,89.8911,24.3262,1.56451,1.5649,90.0,3.0
4.09174,15.5136,13.5833,17.1448,79.4325,1.39131,1.46376,90.0,12.0
13.8357,15.4015,21.0845,50.9087,63.3193,1.04444,1.04483,60.0,15.0
3.65196,28.5114,12.9101,12.7192,15.473,1.29464,1.29524,75.0,9.0
13.032,24.1064,20.4171,39.392,27.3212,1.11191,1.11194,60.0,15.0
0.586135,19.2378,18.9231,41.4939,41.3552,0.764363,0.765364,75.0,12.0
16.2351,32.4197,13.8869,48.2577,61.1328,2.53264,2.56555,75.0,12.0
10.4471,14.9426,14.1041,88.437,7.64211,0.679483,0.680205,90.0,9.0
12.0297,30.5321,19.7366,85.1794,41.1719,1.29429,1.29484,75.0,15.0
11.2866,43.7151,20.4646,14.5643,32.9975,2.30767,2.30919,90.0,12.0
18.9065,21.7654,21.9076,10.2221,70.6602,1.85009,1.89467,90.0,12.0
19.9425,22.9365,15.9371,95.074,9.46545,1.10942,1.11258,90.0,9.0
4.42015,18.423,12.4068,20.7753,14.1941,0.706594,0.706599,75.0,15.0
7.23719,35.1727,20.1316,96.9227,23.5927,1.42595,1.42585,90.0,6.0
1.51093,30.4483,12.6716,55.1635,35.5176,1.33734,1.33786,75.0,12.0
7.83034,11.3166,12.7543,56.7584,6.62976,0.601162,0.601231,75.0,6.0
4.26489,15.9962,14.77,94.5051,19.5857,0.620799,0.622001,90.0,9.0
13.0508,36.4873,17.1526,10.9215,7.80078,2.01658,2.01722,75.0,6.0
0.991331,16.2914,15.5729,42.0552,25.8011,0.839447,0.839584,90.0,3.0
11.9127,14.4364,18.5371,7.84568,63.903,1.12899,1.14876,75.0,15.0
2.54904,30.8918,20.8025,25.4986,7.10417,0.882434,0.8835,60.0,15.0
19.2998,29.2174,13.3024,17.676,19.6212,1.76628,1.76679,60.0,15.0
11.8894,37.2209,18.4296,82.2877,45.2092,2.07105,2.07172,90.0,9.0
5.67065,40.4585,20.3563,99.7149,25.792,1.64723,1.64774,90.0,6.0
16.7625,44.4158,17.1908,96.8214,18.962,2.30578,2.3149,75.0,3.0
14.9857,29.6787,15.3062,82.6561,38.5605,1.90332,1.90361,90.0,6.0
2.38111,38.3169,17.5004,90.2205,10.3667,1.21789,1.21941,75.0,3.0
12.2989,27.781,19.4295,63.155,39.793,2.17404,2.16824,90.0,3.0
1.67319,12.3525,20.3496,94.7322,4.80897,0.328766,0.327033,75.0,9.0
6.59504,39.6245,19.8155,68.7865,35.2041,1.94277,1.94328,90.0,9.0
18.6786,15.4948,17.419,18.3155,23.9117,2.74655,2.79135,90.0,3.0
4.43603,29.8012,12.6876,77.1082,18.0133,1.15803,1.15982,75.0,6.0
11.1526,36.1147,20.1637,48.6353,61.6347,2.13537,2.15995,90.0,12.0
4.37615,34.2027,17.4473,44.095,16.6254,1.71423,1.71562,75.0,3.0
1.45241,11.4456,14.5926,89.4542,25.4052,0.389596,0.391295,60.0,15.0
19.1385,43.7369,17.6761,79.3322,11.5525,2.03587,2.03831,75.0,6.0
4.74276,12.1973,14.4647,36.1564,4.88095,0.561683,0.562863,90.0,6.0
6.41632,35.1965,13.8268,55.1533,56.6807,2.25966,2.25579,60.0,15.0
1.62691,26.0516,16.041,43.4042,42.3072,1.19359,1.19319,75.0,12.0
5.73838,27.6806,15.297,51.7394,88.2859,1.84384,1.89458,90.0,15.0
3.27501,39.8158,14.7156,44.6861,36.3537,2.89815,2.89047,90.0,3.0
9.56354,14.0412,20.6642,29.2551,3.15611,0.567517,0.569613,75.0,12.0
2.78894,32.8871,21.4544,26.2632,45.9927,1.55992,1.5796,75.0,12.0
1.66672,26.034,15.8563,51.4866,34.8472,1.04835,1.04852,90.0,12.0
12.3796,13.5102,13.8282,7.97385,45.5562,1.34659,1.37721,90.0,12.0
13.0792,34.8103,13.0733,60.8628,72.1289,2.63024,2.6929,90.0,12.0
3.72757,19.985,13.2983,21.5867,55.3586,1.25135,1.27907,75.0,15.0
8.81692,11.1169,17.2271,90.18,4.2674,0.540885,0.543685,75.0,3.0
2.55826,11.246,21.949,6.71072,9.63531,0.493244,0.49342,90.0,6.0
0.569336,23.7728,13.95,22.91,114.025,2.34168,2.48374,90.0,12.0
2.84971,23.7543,12.6105,54.1693,2.76254,0.804897,0.805244,90.0,9.0
3.45986,15.4971,17.1963,52.0932,1.87567,0.57637,0.574186,90.0,3.0
16.7972,26.3773,12.7499,98.2131,16.8383,1.37089,1.37208,90.0,6.0
3.58506,40.226,15.2499,86.9704,25.525,1.41988,1.42323,75.0,15.0
13.0064,35.8982,13.9219,84.8589,7.42899,1.60783,1.61534,90.0,3.0
4.70669,36.5957,12.5268,47.2017,51.3259,2.80124,2.86449,90.0,6.0
6.09463,15.6866,12.0909,30.2735,18.277,1.40296,1.4006,75.0,3.0
15.1167,10.7181,18.7992,91.4089,11.2109,0.529046,0.528879,90.0,15.0
7.57494,34.0152,17.2332,57.5396,99.0298,2.35364,2.41843,90.0,15.0
3.09922,39.5475,16.1005,71.2179,81.6278,2.81327,2.89247,90.0,9.0
17.0405,15.1757,13.3537,8.00002,129.917,2.35041,2.58968,90.0,15.0
19.7697,20.4068,19.0068,37.2484,108.126,1.81368,1.86976,90.0,15.0
4.03461,18.2358,20.0881,82.7526,5.62433,0.598863,0.595095,90.0,6.0
13.4069,12.4168,20.0577,3.27369,42.1691,1.27986,1.2962,75.0,9.0
18.8155,34.3803,19.1383,94.7943,13.8575,1.77949,1.78466,90.0,3.0
13.4637,12.4681,12.9518,97.681,87.3542,1.16673,1.16519,90.0,9.0
8.82417,10.5793,12.3051,21.707,49.9075,1.23029,1.26112,75.0,9.0
10.7203,44.2576,20.8648,31.367,12.6425,2.64963,2.65023,75.0,3.0
11.6051,36.5449,21.6218,57.24,13.2215,1.3273,1.32963,60.0,15.0
4.27473,39.0514,13.9153,4.95488,5.57464,1.73015,1.7324,90.0,9.0
13.7141,24.9621,19.8558,29.6306,19.3722,1.5515,1.55237,90.0,6.0
12.7786,33.8702,14.1032,66.5147,29.9261,1.65564,1.65632,90.0,12.0
18.6406,24.4213,20.9788,85.4516,11.8499,1.07085,1.07303,75.0,9.0
14.9899,21.8712,14.8702,17.8309,22.8054,1.35257,1.35859,90.0,12.0
19.9266,38.6515,15.0228,41.3402,16.9654,2.506,2.5058,75.0,6.0
4.92278,29.3882,13.2235,36.5491,2.76152,1.13277,1.13636,75.0,3.0
16.4053,22.6846,17.6656,22.533,13.2637,1.58359,1.59004,75.0,6.0
6.80914,24.3024,13.405,50.0093,6.09229,1.00262,1.00261,90.0,6.0
12.0861,16.5609,14.0581,28.6261,9.24726,1.11744,1.11773,75.0,6.0
8.41872,35.2394,19.6064,77.1969,82.3721,2.03857,2.04011,75.0,15.0
10.4037,37.1299,14.3008,56.122,8.01364,1.73925,1.7403,75.0,3.0
9.13724,32.1295,17.4862,99.2578,26.6029,1.26546,1.26775,90.0,12.0
11.6715,33.0429,14.9011,55.9133,69.8999,2.41559,2.41927,60.0,15.0
8.45364,25.0646,20.2353,73.6379,8.6747,0.870312,0.874539,75.0,9.0
19.1839,18.9509,14.1098,75.5231,33.93,1.08421,1.08421,90.0,15.0
14.7386,39.8765,17.4692,61.6444,4.34122,1.5512,1.55369,75.0,9.0
8.29146,18.3229,19.8896,22.5835,15.3085,0.850242,0.850283,75.0,9.0
9.66,40.9652,20.7975,81.5389,7.97691,1.62553,1.63041,75.0,3.0
13.3645,42.1633,14.9044,73.4973,60.1251,2.57687,2.57399,75.0,15.0
19.7102,44.6757,18.4109,44.7976,21.1336,2.41872,2.41931,75.0,9.0
7.37423,13.042,20.6468,96.665,5.92213,0.443089,0.44267,75.0,12.0
2.54487,13.2175,18.5664,84.3642,24.6484,0.507705,0.509137,75.0,6.0
12.1628,27.3265,14.813,51.6851,57.0756,1.87275,1.87992,75.0,12.0
4.99448,16.7619,14.7181,26.4799,2.88763,0.613688,0.616342,90.0,12.0
18.747,21.842,19.6338,92.6106,23.2571,1.44005,1.43833,90.0,3.0
17.3582,23.1696,12.3804,48.0869,34.9118,2.71669,2.70886,90.0,3.0
19.3459,16.6764,16.7883,21.3749,27.4829,1.53575,1.54453,75.0,9.0
12.7878,36.239,15.8105,25.3946,11.8894,2.66996,2.66719,90.0,3.0
14.8338,21.0354,19.0844,97.669,58.3429,1.09018,1.08531,75.0,15.0
9.2288,31.608,15.5376,84.9809,24.9382,1.65172,1.65126,90.0,3.0
15.8023,12.77,15.8463,9.60031,51.8687,1.37712,1.40255,75.0,12.0
7.48915,30.9463,16.8144,90.6599,68.3439,1.75053,1.74753,75.0,12.0
14.2666,24.0918,20.8273,37.6822,15.3971,1.36209,1.36308,90.0,6.0
18.1476,41.7962,19.598,17.8093,31.1136,2.84287,2.87261,75.0,9.0
16.3465,24.446,19.5885,51.9603,7.0102,1.08896,1.08878,75.0,9.0
0.675068,38.0646,16.2457,98.4883,8.73414,1.0172,1.02839,75.0,6.0
7.40307,26.9452,13.4091,59.4654,35.9506,1.66048,1.65947,90.0,6.0
