,Material 1 : Cohesion (kN/m2),Material 1 : Phi (deg),Material 1 : Unit Weight (kN/m3),Load #1 Magnitude (kN/m),Load #2 Magnitude (kN/m),Factor of Safety - spencer,Factor of Safety - gle/morgenstern-price,Unnamed: 7,slope_angle,slope_height
0,9.25214,27.0344,16.2721,25.7109,65.198,2.35864,2.4252,,90.0,9.0
1,12.8451,13.9206,16.3404,17.2906,61.5234,1.57325,1.6251,,90.0,9.0
2,10.3626,30.1019,15.2261,89.1311,43.9082,1.64053,1.64125,,90.0,9.0
3,8.00854,27.3663,14.5454,81.8012,59.8084,1.70147,1.70033,,90.0,9.0
4,12.3133,40.8389,19.4886,75.3521,66.4819,2.78088,2.77879,,90.0,9.0
5,5.51885,13.6477,20.9262,91.5072,91.7544,0.886737,0.888642,,90.0,9.0
6,9.60849,36.6256,13.364,95.4096,19.0632,1.58716,1.58535,,90.0,9.0
7,4.88406,24.9439,12.1014,1.69703,3.99156,1.07655,1.07593,,90.0,9.0
8,19.441,24.4347,20.2462,86.1016,85.1662,1.90992,1.91023,,90.0,9.0
9,8.72489,12.2857,20.3588,56.6237,7.73634,0.556664,0.556433,,90.0,9.0
10,9.53946,21.5231,14.3742,64.8108,28.2261,1.1496,1.15013,,90.0,9.0
11,5.028,43.0035,19.2867,65.491,38.1935,2.21729,2.22123,,90.0,9.0
12,5.89513,30.6107,18.6819,25.342,15.2789,1.35955,1.3615,,90.0,9.0
13,18.4673,11.2863,12.7875,34.1217,82.7765,1.83101,1.88547,,90.0,9.0
14,15.5717,17.4909,21.9468,48.3004,33.0217,1.06471,1.06607,,90.0,9.0
15,5.8726,17.7398,15.9166,47.5093,42.3621,1.0365,1.03594,,90.0,9.0
16,2.55826,11.246,21.949,6.71072,16.0588,0.458006,0.457837,,90.0,9.0
17,13.5297,10.688,19.6785,88.8365,65.8677,0.852417,0.853781,,90.0,9.0
18,3.71966,13.5265,20.3903,5.62014,94.4407,1.36621,1.44029,,90.0,9.0
19,13.6633,14.8724,14.3845,8.13417,3.70028,1.02463,1.02292,,90.0,9.0
20,14.6642,34.0562,17.8351,61.4394,73.7812,2.63085,2.67853,,90.0,9.0
21,0.0459144,20.7633,12.802,93.3934,63.4191,1.03236,1.03264,,90.0,9.0
22,14.569,20.9592,19.628,86.722,17.5621,0.993869,0.991994,,90.0,9.0
