,Material 1 : Cohesion (kN/m2),Material 1 : Phi (deg),Material 1 : Unit Weight (kN/m3),Load #1 Magnitude (kN/m),Load #2 Magnitude (kN/m),Factor of Safety - spencer,Factor of Safety - gle/morgenstern-price,Unnamed: 7,slope_angle,slope_height
0,9.25214,27.0344,16.2721,25.7109,6.5198,1.91805,1.92119,,30.0,9.0
1,12.8451,13.9206,16.3404,17.2906,6.15234,1.36595,1.36708,,30.0,9.0
2,10.3626,30.1019,15.2261,89.1311,4.39082,1.62464,1.62486,,30.0,9.0
3,8.00854,27.3663,14.5454,81.8012,5.98084,1.49661,1.5026,,30.0,9.0
4,12.3133,40.8389,19.4886,75.3521,6.64819,2.48691,2.48924,,30.0,9.0
5,5.51885,13.6477,20.9262,91.5072,9.17544,0.763082,0.763701,,30.0,9.0
6,9.60849,36.6256,13.364,95.4096,1.90632,1.79581,1.79963,,30.0,9.0
7,4.88406,24.9439,12.1014,1.69703,0.399156,1.43599,1.4332,,30.0,9.0
8,19.441,24.4347,20.2462,86.1016,8.51662,1.70418,1.70717,,30.0,9.0
9,8.72489,12.2857,20.3588,56.6237,0.773634,0.752268,0.752253,,30.0,9.0
10,9.53946,21.5231,14.3742,64.8108,2.82261,1.254,1.25185,,30.0,9.0
11,5.028,43.0035,19.2867,65.491,3.81935,2.24074,2.2467,,30.0,9.0
12,5.89513,30.6107,18.6819,25.342,1.52789,1.58682,1.59195,,30.0,9.0
13,18.4673,11.2863,12.7875,34.1217,8.27765,1.53954,1.53989,,30.0,9.0
14,15.5717,17.4909,21.9468,48.3004,3.30217,1.2515,1.2516,,30.0,9.0
15,5.8726,17.7398,15.9166,47.5093,4.23621,1.02861,1.02786,,30.0,9.0
16,2.55826,11.246,21.949,6.71072,1.60588,0.567801,0.568454,,30.0,9.0
17,13.5297,10.688,19.6785,88.8365,6.58677,0.830679,0.830119,,30.0,9.0
18,3.71966,13.5265,20.3903,5.62014,9.44407,0.951842,0.952475,,30.0,9.0
19,13.6633,14.8724,14.3845,8.13417,0.370028,1.40355,1.40294,,30.0,9.0
20,14.6642,34.0562,17.8351,61.4394,7.37812,2.2852,2.28835,,30.0,9.0
21,0.0459144,20.7633,12.802,93.3934,6.34191,0.834921,0.833171,,30.0,9.0
22,14.569,20.9592,19.628,86.722,1.75621,1.22716,1.22686,,30.0,9.0
23,3.65196,28.5114,12.9101,12.7192,3.09461,1.66243,1.66178,,30.0,9.0
24,12.4104,25.7475,16.6887,5.20435,2.99481,1.95128,1.95097,,30.0,9.0
25,6.18445,22.9187,18.5829,46.8142,4.84235,1.27885,1.28015,,30.0,9.0
26,0.561921,30.8207,12.8072,86.235,9.91151,1.5266,1.5281,,30.0,9.0
27,18.88,39.3772,17.0792,7.64736,9.96705,3.84228,3.8413,,30.0,9.0
28,7.49724,42.2164,20.3112,15.9405,1.46674,2.36937,2.36607,,30.0,9.0
29,3.58385,40.14,16.0798,48.1949,8.1725,2.46315,2.46659,,30.0,9.0
30,14.6795,31.9393,21.615,56.0081,1.92023,1.85034,1.84953,,30.0,9.0
31,2.75299,16.2996,18.9905,56.8213,4.09938,0.77693,0.775327,,30.0,9.0
32,0.87532,31.1615,17.6981,81.904,0.921823,1.15454,1.15347,,30.0,9.0
33,4.48589,43.2016,13.7236,91.3257,5.87605,2.25019,2.25267,,30.0,9.0
34,3.84362,22.0095,16.5144,56.3741,4.56685,1.10771,1.11018,,30.0,9.0
35,7.50729,31.3655,13.6935,47.7032,7.34017,2.03161,2.03613,,30.0,9.0
36,10.6131,37.1993,12.4771,35.3252,4.07537,2.51937,2.52073,,30.0,9.0
37,3.24265,39.0203,12.0246,32.2993,1.69957,1.97576,1.98079,,30.0,9.0
38,12.8284,34.8708,12.1702,75.7917,2.23122,1.97051,1.96913,,30.0,9.0
39,9.69331,29.8417,15.7207,76.6738,7.44087,1.77025,1.77573,,30.0,9.0
40,1.24815,39.1908,19.6695,9.20404,1.82615,1.88219,1.88405,,30.0,9.0
41,17.3694,23.4759,16.3815,40.8733,5.63986,1.88351,1.8852,,30.0,9.0
42,3.95435,38.8775,21.9954,57.9333,1.42526,1.78046,1.78248,,30.0,9.0
43,17.2509,28.1716,14.8994,49.3066,4.37954,2.06214,2.05799,,30.0,9.0
44,8.64921,36.7837,20.0463,9.48131,9.21597,2.77085,2.77283,,30.0,9.0
45,2.48356,19.4578,19.0794,77.9718,5.11583,0.882676,0.881519,,30.0,9.0
46,13.3058,34.6806,19.5966,37.5568,8.89767,2.52604,2.52947,,30.0,9.0
47,14.2122,31.9904,12.4785,59.19,1.2687,1.94132,1.94133,,30.0,9.0
48,0.706884,26.8167,20.5764,13.848,7.38239,1.4715,1.472,,30.0,9.0
49,12.8558,25.6665,12.4215,14.96,1.7265,2.01731,2.0177,,30.0,9.0
50,14.6264,31.7724,14.6474,74.6497,3.12556,1.89753,1.89574,,30.0,9.0
51,13.0653,20.4832,18.074,25.9844,4.30689,1.54762,1.54977,,30.0,9.0
52,5.02926,34.2215,15.4233,5.98928,7.90824,2.544,2.54525,,30.0,9.0
53,2.72378,36.0143,15.8558,7.80733,6.83385,2.38674,2.38785,,30.0,9.0
54,14.4793,20.8526,17.1783,98.7546,1.26691,1.1893,1.18949,,30.0,9.0
55,12.4296,37.8532,17.0239,56.4274,6.1141,2.44214,2.44334,,30.0,9.0
56,8.10068,15.7336,13.5746,58.5152,3.48374,0.993743,0.994006,,30.0,9.0
57,16.3675,42.1372,18.7607,78.421,4.41814,2.57617,2.57298,,30.0,9.0
58,13.8715,39.8519,15.1421,58.2456,2.87745,2.44064,2.43803,,30.0,9.0
59,18.3844,22.6563,21.6945,78.9338,0.197414,1.3779,1.37544,,30.0,9.0
60,1.92162,15.7936,17.7409,83.9419,4.53444,0.684927,0.684549,,30.0,9.0
61,2.17619,44.6621,21.9602,31.9949,3.39986,2.34807,2.35353,,30.0,9.0
62,13.5454,35.2748,18.158,60.8324,4.55306,2.16223,2.16226,,30.0,9.0
63,6.43955,27.1179,13.2793,87.0165,2.35595,1.27727,1.278,,30.0,9.0
64,12.7,33.532,12.044,71.04,9.97009,2.35798,2.35963,,30.0,9.0
65,4.56763,18.0552,14.8681,9.18895,1.10166,1.03373,1.03319,,30.0,9.0
66,15.9932,17.8715,19.6649,15.3094,0.302611,1.40434,1.40465,,30.0,9.0
