,Material 1 : Cohesion (kN/m2),Material 1 : Phi (deg),Material 1 : Unit Weight (kN/m3),Load #1 Magnitude (kN/m),Load #2 Magnitude (kN/m),Factor of Safety - spencer,Factor of Safety - gle/morgenstern-price,Unnamed: 7,slope_angle,slope_height
0,9.25214,27.0344,16.2721,25.7109,45.6386,1.70371,1.72727,,75.0,12.0
1,12.8451,13.9206,16.3404,17.2906,43.0664,1.15743,1.17319,,75.0,12.0
2,10.3626,30.1019,15.2261,89.1311,30.7357,1.29228,1.29363,,75.0,12.0
3,8.00854,27.3663,14.5454,81.8012,41.8659,1.323,1.32241,,75.0,12.0
4,12.3133,40.8389,19.4886,75.3521,46.5373,2.09757,2.09655,,75.0,12.0
5,5.51885,13.6477,20.9262,91.5072,64.228,0.69219,0.69106,,75.0,12.0
6,9.60849,36.6256,13.364,95.4096,13.3442,1.36384,1.36217,,75.0,12.0
7,4.88406,24.9439,12.1014,1.69703,2.79409,0.917249,0.918257,,75.0,12.0
8,19.441,24.4347,20.2462,86.1016,59.6164,1.49541,1.49467,,75.0,12.0
9,8.72489,12.2857,20.3588,56.6237,5.41544,0.48697,0.485067,,75.0,12.0
10,9.53946,21.5231,14.3742,64.8108,19.7583,0.920896,0.921469,,75.0,12.0
11,5.028,43.0035,19.2867,65.491,26.7355,1.77941,1.78219,,75.0,12.0
12,5.89513,30.6107,18.6819,25.342,10.6952,1.06699,1.06839,,75.0,12.0
13,18.4673,11.2863,12.7875,34.1217,57.9436,1.39903,1.42575,,75.0,12.0
14,15.5717,17.4909,21.9468,48.3004,23.1152,0.857946,0.858398,,75.0,12.0
15,5.8726,17.7398,15.9166,47.5093,29.6535,0.803032,0.802831,,75.0,12.0
16,2.55826,11.246,21.949,6.71072,11.2412,0.384099,0.38422,,75.0,12.0
17,13.5297,10.688,19.6785,88.8365,46.1074,0.653549,0.655971,,75.0,12.0
18,3.71966,13.5265,20.3903,5.62014,66.1085,0.938809,0.969238,,75.0,12.0
19,13.6633,14.8724,14.3845,8.13417,2.5902,0.843516,0.844254,,75.0,12.0
20,14.6642,34.0562,17.8351,61.4394,51.6469,2.03236,2.03127,,75.0,12.0
21,0.0459144,20.7633,12.802,93.3934,44.3933,0.820084,0.821173,,75.0,12.0
22,14.569,20.9592,19.628,86.722,12.2935,0.8337,0.83484,,75.0,12.0
23,3.65196,28.5114,12.9101,12.7192,21.6623,1.29268,1.29785,,75.0,12.0
24,12.4104,25.7475,16.6887,5.20435,20.9637,1.41064,1.41617,,75.0,12.0
25,6.18445,22.9187,18.5829,46.8142,33.8964,1.00064,1.00049,,75.0,12.0
26,0.561921,30.8207,12.8072,86.235,69.3806,1.70086,1.69266,,75.0,12.0
27,18.88,39.3772,17.0792,7.64736,69.7693,3.92433,4.05613,,75.0,12.0
28,7.49724,42.2164,20.3112,15.9405,10.2672,1.59951,1.60688,,75.0,12.0
29,3.58385,40.14,16.0798,48.1949,57.2075,2.42767,2.44442,,75.0,12.0
30,14.6795,31.9393,21.615,56.0081,13.4416,1.25155,1.25444,,75.0,12.0
31,2.75299,16.2996,18.9905,56.8213,28.6957,0.589603,0.590988,,75.0,12.0
32,0.87532,31.1615,17.6981,81.904,6.45276,0.878368,0.883589,,75.0,12.0
33,4.48589,43.2016,13.7236,91.3257,41.1323,2.07886,2.08195,,75.0,12.0
34,3.84362,22.0095,16.5144,56.3741,31.9679,0.890552,0.890777,,75.0,12.0
35,7.50729,31.3655,13.6935,47.7032,51.3812,1.96465,1.96917,,75.0,12.0
36,10.6131,37.1993,12.4771,35.3252,28.5276,2.07922,2.07827,,75.0,12.0
37,3.24265,39.0203,12.0246,32.2993,11.897,1.42303,1.42436,,75.0,12.0
38,12.8284,34.8708,12.1702,75.7917,15.6185,1.45008,1.45295,,75.0,12.0
39,9.69331,29.8417,15.7207,76.6738,52.0861,1.64607,1.6454,,75.0,12.0
40,1.24815,39.1908,19.6695,9.20404,12.783,1.3284,1.3263,,75.0,12.0
41,17.3694,23.4759,16.3815,40.8733,39.479,1.55414,1.55739,,75.0,12.0
42,3.95435,38.8775,21.9954,57.9333,9.97685,1.22238,1.22936,,75.0,12.0
43,17.2509,28.1716,14.8994,49.3066,30.6568,1.6279,1.62871,,75.0,12.0
44,8.64921,36.7837,20.0463,9.48131,64.5118,2.74126,2.81926,,75.0,12.0
45,2.48356,19.4578,19.0794,77.9718,35.8108,0.731277,0.733038,,75.0,12.0
46,13.3058,34.6806,19.5966,37.5568,62.2837,2.33027,2.3689,,75.0,12.0
47,14.2122,31.9904,12.4785,59.19,8.88087,1.33054,1.33712,,75.0,12.0
48,0.706884,26.8167,20.5764,13.848,51.6767,1.37587,1.40929,,75.0,12.0
49,12.8558,25.6665,12.4215,14.96,12.0855,1.35228,1.3531,,75.0,12.0
50,14.6264,31.7724,14.6474,74.6497,21.879,1.41598,1.41942,,75.0,12.0
51,13.0653,20.4832,18.074,25.9844,30.1482,1.16669,1.17634,,75.0,12.0
52,5.02926,34.2215,15.4233,5.98928,55.3577,2.64426,2.7336,,75.0,12.0
53,2.72378,36.0143,15.8558,7.80733,47.8369,2.37898,2.44675,,75.0,12.0
54,14.4793,20.8526,17.1783,98.7546,8.86837,0.808057,0.812406,,75.0,12.0
55,12.4296,37.8532,17.0239,56.4274,42.7987,2.08755,2.0865,,75.0,12.0
56,8.10068,15.7336,13.5746,58.5152,24.3862,0.758129,0.758098,,75.0,12.0
57,16.3675,42.1372,18.7607,78.421,30.927,1.97591,1.97863,,75.0,12.0
58,13.8715,39.8519,15.1421,58.2456,20.1422,1.78561,1.78734,,75.0,12.0
59,18.3844,22.6563,21.6945,78.9338,1.3819,0.872917,0.871401,,75.0,12.0
60,1.92162,15.7936,17.7409,83.9419,31.7411,0.562854,0.563538,,75.0,12.0
61,2.17619,44.6621,21.9602,31.9949,23.799,1.72299,1.72508,,75.0,12.0
62,13.5454,35.2748,18.158,60.8324,31.8715,1.66719,1.66756,,75.0,12.0
63,6.43955,27.1179,13.2793,87.0165,16.4916,0.986261,0.982662,,75.0,12.0
64,12.7,33.532,12.044,71.04,69.7907,2.52197,2.52341,,75.0,12.0
65,4.56763,18.0552,14.8681,9.18895,7.7116,0.683062,0.683084,,75.0,12.0
66,15.9932,17.8715,19.6649,15.3094,2.11828,0.850577,0.843934,,75.0,12.0
67,16.3482,36.2972,12.2017,44.4564,55.1767,2.92641,2.96009,,75.0,12.0
68,11.3735,21.5876,16.1417,77.8731,9.73493,0.820816,0.82711,,75.0,12.0
69,16.76,24.1957,20.581,43.8615,45.954,1.45988,1.46348,,75.0,12.0
70,0.850175,38.1895,19.7757,41.1438,37.2276,1.58973,1.58996,,75.0,12.0
71,11.2372,13.7848,21.2023,2.31851,68.9968,1.21986,1.25093,,75.0,12.0
72,11.5294,22.7826,20.9728,93.182,19.3278,0.853381,0.854619,,75.0,12.0
73,7.90655,43.8026,15.0564,58.3017,23.9564,1.90643,1.91013,,75.0,12.0
74,6.37684,27.8955,17.6075,66.3564,8.41712,0.892459,0.892579,,75.0,12.0
75,18.8505,31.9493,21.868,86.46,46.5848,1.61871,1.61804,,75.0,12.0
76,10.4374,13.5398,16.7343,61.3438,26.9194,0.700609,0.700168,,75.0,12.0
77,3.1326,18.3268,21.7944,28.8348,27.0373,0.678701,0.678845,,75.0,12.0
78,14.3224,39.0782,13.0498,50.0553,27.8697,2.11323,2.11224,,75.0,12.0
79,1.68396,38.6152,18.3454,15.2525,57.0181,2.49041,2.56398,,75.0,12.0
80,15.4016,10.4428,19.2651,84.3087,33.0807,0.632767,0.63417,,75.0,12.0
81,18.3224,15.8624,14.7495,64.6818,50.9831,1.27614,1.27606,,75.0,12.0
82,17.4196,23.3839,16.1598,94.241,41.2527,1.27506,1.27593,,75.0,12.0
83,15.0492,26.468,15.6719,6.31379,38.095,2.02751,2.05882,,75.0,12.0
84,7.62201,12.135,15.7513,93.8075,43.4671,0.629333,0.629498,,75.0,12.0
85,0.618189,13.0675,15.7584,16.8122,57.4834,0.792967,0.817357,,75.0,12.0
86,7.58745,33.4903,14.2622,99.6508,56.8484,1.78283,1.78244,,75.0,12.0
87,4.87798,34.928,15.6906,35.7377,47.8751,2.01137,2.03696,,75.0,12.0
88,17.4517,23.7322,15.9429,68.0156,58.3149,1.66309,1.66127,,75.0,12.0
89,9.63142,26.395,18.2476,60.9462,46.2444,1.36684,1.36558,,75.0,12.0
90,15.5328,12.5069,17.2229,49.2692,38.5335,0.899997,0.90793,,75.0,12.0
91,1.2875,21.782,18.3019,27.7927,54.3993,1.13976,1.16296,,75.0,12.0
92,19.3015,43.691,13.9932,2.54641,41.7725,4.06687,4.16895,,75.0,12.0
93,5.58324,13.4111,19.6461,43.5426,65.836,0.835419,0.846355,,75.0,12.0
94,8.96947,25.7808,17.2544,0.485197,62.6234,2.18814,2.26046,,75.0,12.0
95,17.6527,37.1826,18.7335,72.6538,1.13786,1.37096,1.37321,,75.0,12.0
