,Material 1 : Cohesion (kN/m2),Material 1 : Phi (deg),Material 1 : Unit Weight (kN/m3),Load #1 Magnitude (kN/m),Load #2 Magnitude (kN/m),Factor of Safety - spencer,Factor of Safety - gle/morgenstern-price,Unnamed: 7,slope_angle,slope_height
0,9.25214,27.0344,16.2721,25.7109,19.5594,1.66662,1.68023,,75.0,6.0
1,12.8451,13.9206,16.3404,17.2906,18.457,1.38022,1.38807,,75.0,6.0
2,10.3626,30.1019,15.2261,89.1311,13.1725,1.21107,1.21364,,75.0,6.0
3,8.00854,27.3663,14.5454,81.8012,17.9425,1.15353,1.15641,,75.0,6.0
4,12.3133,40.8389,19.4886,75.3521,19.9446,1.88116,1.88497,,75.0,6.0
5,5.51885,13.6477,20.9262,91.5072,27.5263,0.607782,0.608105,,75.0,6.0
6,9.60849,36.6256,13.364,95.4096,5.71896,1.28189,1.28514,,75.0,6.0
7,4.88406,24.9439,12.1014,1.69703,1.19747,1.11047,1.10583,,75.0,6.0
8,19.441,24.4347,20.2462,86.1016,25.5499,1.39114,1.39141,,75.0,6.0
9,8.72489,12.2857,20.3588,56.6237,2.3209,0.559897,0.558578,,75.0,6.0
10,9.53946,21.5231,14.3742,64.8108,8.46783,0.938033,0.941694,,75.0,6.0
11,5.028,43.0035,19.2867,65.491,11.4581,1.54823,1.55299,,75.0,6.0
12,5.89513,30.6107,18.6819,25.342,4.58367,1.14779,1.14517,,75.0,6.0
13,18.4673,11.2863,12.7875,34.1217,24.833,1.62588,1.64901,,75.0,6.0
14,15.5717,17.4909,21.9468,48.3004,9.90652,0.980695,0.980417,,75.0,6.0
15,5.8726,17.7398,15.9166,47.5093,12.7086,0.793878,0.794487,,75.0,6.0
16,2.55826,11.246,21.949,6.71072,4.81765,0.431855,0.433493,,75.0,6.0
17,13.5297,10.688,19.6785,88.8365,19.7603,0.665634,0.665887,,75.0,6.0
18,3.71966,13.5265,20.3903,5.62014,28.3322,0.955765,0.975516,,75.0,6.0
19,13.6633,14.8724,14.3845,8.13417,1.11008,1.19636,1.19429,,75.0,6.0
20,14.6642,34.0562,17.8351,61.4394,22.1344,1.85009,1.85066,,75.0,6.0
21,0.0459144,20.7633,12.802,93.3934,19.0257,0.591985,0.591504,,75.0,6.0
22,14.569,20.9592,19.628,86.722,5.26863,0.900264,0.903137,,75.0,6.0
23,3.65196,28.5114,12.9101,12.7192,9.28382,1.30114,1.30113,,75.0,6.0
24,12.4104,25.7475,16.6887,5.20435,8.98444,1.73991,1.73988,,75.0,6.0
25,6.18445,22.9187,18.5829,46.8142,14.527,0.972959,0.9731,,75.0,6.0
26,0.561921,30.8207,12.8072,86.235,29.7345,1.21004,1.21197,,75.0,6.0
27,18.88,39.3772,17.0792,7.64736,29.9011,4.1274,4.22556,,75.0,6.0
28,7.49724,42.2164,20.3112,15.9405,4.40023,1.71101,1.71303,,75.0,6.0
29,3.58385,40.14,16.0798,48.1949,24.5175,1.97661,1.97672,,75.0,6.0
30,14.6795,31.9393,21.615,56.0081,5.76068,1.35238,1.3543,,75.0,6.0
31,2.75299,16.2996,18.9905,56.8213,12.2981,0.55881,0.566246,,75.0,6.0
32,0.87532,31.1615,17.6981,81.904,2.76547,0.764655,0.768113,,75.0,6.0
33,4.48589,43.2016,13.7236,91.3257,17.6281,1.62742,1.63485,,75.0,6.0
34,3.84362,22.0095,16.5144,56.3741,13.7005,0.821573,0.825828,,75.0,6.0
35,7.50729,31.3655,13.6935,47.7032,22.0205,1.70604,1.7061,,75.0,6.0
36,10.6131,37.1993,12.4771,35.3252,12.2261,1.99638,1.99719,,75.0,6.0
37,3.24265,39.0203,12.0246,32.2993,5.09871,1.37008,1.37432,,75.0,6.0
38,12.8284,34.8708,12.1702,75.7917,6.69366,1.44795,1.4521,,75.0,6.0
39,9.69331,29.8417,15.7207,76.6738,22.3226,1.41052,1.41438,,75.0,6.0
40,1.24815,39.1908,19.6695,9.20404,5.47844,1.30846,1.31283,,75.0,6.0
41,17.3694,23.4759,16.3815,40.8733,16.9196,1.5759,1.58865,,75.0,6.0
42,3.95435,38.8775,21.9954,57.9333,4.27579,1.20299,1.20527,,75.0,6.0
43,17.2509,28.1716,14.8994,49.3066,13.1386,1.64107,1.64121,,75.0,6.0
44,8.64921,36.7837,20.0463,9.48131,27.6479,2.65546,2.71281,,75.0,6.0
45,2.48356,19.4578,19.0794,77.9718,15.3475,0.623704,0.630402,,75.0,6.0
46,13.3058,34.6806,19.5966,37.5568,26.693,2.20374,2.2052,,75.0,6.0
47,14.2122,31.9904,12.4785,59.19,3.80609,1.42726,1.42398,,75.0,6.0
48,0.706884,26.8167,20.5764,13.848,22.1472,1.18576,1.19896,,75.0,6.0
49,12.8558,25.6665,12.4215,14.96,5.17951,1.64378,1.64398,,75.0,6.0
50,14.6264,31.7724,14.6474,74.6497,9.37669,1.42277,1.42299,,75.0,6.0
51,13.0653,20.4832,18.074,25.9844,12.9207,1.29739,1.29747,,75.0,6.0
52,5.02926,34.2215,15.4233,5.98928,23.7247,2.51801,2.57844,,75.0,6.0
53,2.72378,36.0143,15.8558,7.80733,20.5015,2.16146,2.19861,,75.0,6.0
54,14.4793,20.8526,17.1783,98.7546,3.80073,0.870658,0.870204,,75.0,6.0
55,12.4296,37.8532,17.0239,56.4274,18.3423,1.90972,1.91299,,75.0,6.0
56,8.10068,15.7336,13.5746,58.5152,10.4512,0.769319,0.769832,,75.0,6.0
