,Material 1 : Cohesion (kN/m2),Material 1 : Phi (deg),Material 1 : Unit Weight (kN/m3),Load #1 Magnitude (kN/m),Load #2 Magnitude (kN/m),Factor of Safety - spencer,Factor of Safety - gle/morgenstern-price,Unnamed: 7,slope_angle,slope_height
0,9.25214,27.0344,16.2721,25.7109,26.0792,2.46907,2.46631,,45.0,6.0
1,12.8451,13.9206,16.3404,17.2906,24.6093,1.79376,1.79751,,45.0,6.0
2,10.3626,30.1019,15.2261,89.1311,17.5633,1.66621,1.66681,,45.0,6.0
3,8.00854,27.3663,14.5454,81.8012,23.9234,1.67104,1.67498,,45.0,6.0
4,12.3133,40.8389,19.4886,75.3521,26.5927,2.8122,2.81738,,45.0,6.0
5,5.51885,13.6477,20.9262,91.5072,36.7017,0.890323,0.892646,,45.0,6.0
6,9.60849,36.6256,13.364,95.4096,7.62528,1.55428,1.55577,,45.0,6.0
7,4.88406,24.9439,12.1014,1.69703,1.59663,1.33242,1.33119,,45.0,6.0
8,19.441,24.4347,20.2462,86.1016,34.0665,2.00364,2.00632,,45.0,6.0
9,8.72489,12.2857,20.3588,56.6237,3.09454,0.663326,0.65746,,45.0,6.0
10,9.53946,21.5231,14.3742,64.8108,11.2904,1.23023,1.23245,,45.0,6.0
11,5.028,43.0035,19.2867,65.491,15.2774,2.26068,2.26239,,45.0,6.0
12,5.89513,30.6107,18.6819,25.342,6.11156,1.47212,1.47629,,45.0,6.0
13,18.4673,11.2863,12.7875,34.1217,33.1106,2.03317,2.03169,,45.0,6.0
14,15.5717,17.4909,21.9468,48.3004,13.2087,1.31544,1.31667,,45.0,6.0
15,5.8726,17.7398,15.9166,47.5093,16.9448,1.14981,1.14971,,45.0,6.0
16,2.55826,11.246,21.949,6.71072,6.42354,0.557066,0.557107,,45.0,6.0
17,13.5297,10.688,19.6785,88.8365,26.3471,0.941783,0.943146,,45.0,6.0
18,3.71966,13.5265,20.3903,5.62014,37.7763,1.37188,1.40952,,45.0,6.0
19,13.6633,14.8724,14.3845,8.13417,1.48011,1.42378,1.42757,,45.0,6.0
20,14.6642,34.0562,17.8351,61.4394,29.5125,2.74133,2.74412,,45.0,6.0
21,0.0459144,20.7633,12.802,93.3934,25.3676,0.923711,0.928342,,45.0,6.0
22,14.569,20.9592,19.628,86.722,7.02484,1.0875,1.08532,,45.0,6.0
23,3.65196,28.5114,12.9101,12.7192,12.3784,1.99607,1.9969,,45.0,6.0
24,12.4104,25.7475,16.6887,5.20435,11.9793,2.36107,2.36366,,45.0,6.0
25,6.18445,22.9187,18.5829,46.8142,19.3694,1.44919,1.44698,,45.0,6.0
26,0.561921,30.8207,12.8072,86.235,39.646,1.89046,1.89212,,45.0,6.0
27,18.88,39.3772,17.0792,7.64736,39.8682,5.69141,5.90493,,45.0,6.0
28,7.49724,42.2164,20.3112,15.9405,5.86697,2.21334,2.21671,,45.0,6.0
29,3.58385,40.14,16.0798,48.1949,32.69,3.14052,3.13758,,45.0,6.0
30,14.6795,31.9393,21.615,56.0081,7.68091,1.69357,1.69304,,45.0,6.0
31,2.75299,16.2996,18.9905,56.8213,16.3975,0.815811,0.817389,,45.0,6.0
32,0.87532,31.1615,17.6981,81.904,3.68729,0.892108,0.896361,,45.0,6.0
33,4.48589,43.2016,13.7236,91.3257,23.5042,2.45767,2.46497,,45.0,6.0
34,3.84362,22.0095,16.5144,56.3741,18.2674,1.21856,1.21666,,45.0,6.0
35,7.50729,31.3655,13.6935,47.7032,29.3607,2.54875,2.54934,,45.0,6.0
36,10.6131,37.1993,12.4771,35.3252,16.3015,2.95558,2.95814,,45.0,6.0
37,3.24265,39.0203,12.0246,32.2993,6.79828,1.89821,1.8963,,45.0,6.0
38,12.8284,34.8708,12.1702,75.7917,8.92488,1.81405,1.81601,,45.0,6.0
39,9.69331,29.8417,15.7207,76.6738,29.7635,2.07802,2.08131,,45.0,6.0
40,1.24815,39.1908,19.6695,9.20404,7.30459,1.84034,1.84473,,45.0,6.0
41,17.3694,23.4759,16.3815,40.8733,22.5594,2.28864,2.29,,45.0,6.0
42,3.95435,38.8775,21.9954,57.9333,5.70106,1.491,1.49554,,45.0,6.0
