,Material 1 : Cohesion (kN/m2),Material 1 : Phi (deg),Material 1 : Unit Weight (kN/m3),Load #1 Magnitude (kN/m),Load #2 Magnitude (kN/m),Factor of Safety - spencer,Factor of Safety - gle/morgenstern-price,Unnamed: 7,slope_angle,slope_height
0,9.25214,27.0344,16.2721,25.7109,78.2376,2.21585,2.29552,,90.0,12.0
1,12.8451,13.9206,16.3404,17.2906,73.828,1.4114,1.45727,,90.0,12.0
2,10.3626,30.1019,15.2261,89.1311,52.6898,1.57662,1.5758,,90.0,12.0
3,8.00854,27.3663,14.5454,81.8012,71.7701,1.66564,1.66185,,90.0,12.0
4,12.3133,40.8389,19.4886,75.3521,79.7782,2.65548,2.67352,,90.0,12.0
5,5.51885,13.6477,20.9262,91.5072,110.105,0.874224,0.888204,,90.0,12.0
6,9.60849,36.6256,13.364,95.4096,22.8759,1.50113,1.50588,,90.0,12.0
7,4.88406,24.9439,12.1014,1.69703,4.78988,0.992676,0.992,,90.0,12.0
8,19.441,24.4347,20.2462,86.1016,102.199,1.83505,1.8604,,90.0,12.0
9,8.72489,12.2857,20.3588,56.6237,9.28361,0.516798,0.518959,,90.0,12.0
10,9.53946,21.5231,14.3742,64.8108,33.8713,1.06716,1.06716,,90.0,12.0
11,5.028,43.0035,19.2867,65.491,45.8322,2.07635,2.07716,,90.0,12.0
12,5.89513,30.6107,18.6819,25.342,18.3347,1.2372,1.23808,,90.0,12.0
13,18.4673,11.2863,12.7875,34.1217,99.3318,1.66163,1.71779,,90.0,12.0
14,15.5717,17.4909,21.9468,48.3004,39.6261,0.97642,0.978251,,90.0,12.0
15,5.8726,17.7398,15.9166,47.5093,50.8345,0.989765,0.99238,,90.0,12.0
16,2.55826,11.246,21.949,6.71072,19.2706,0.428903,0.428376,,90.0,12.0
17,13.5297,10.688,19.6785,88.8365,79.0413,0.805005,0.811425,,90.0,12.0
18,3.71966,13.5265,20.3903,5.62014,113.329,1.25476,1.31996,,90.0,12.0
19,13.6633,14.8724,14.3845,8.13417,4.44034,0.887813,0.88499,,90.0,12.0
20,14.6642,34.0562,17.8351,61.4394,88.5375,2.55879,2.6296,,90.0,12.0
21,0.0459144,20.7633,12.802,93.3934,76.1029,1.06259,1.06503,,90.0,12.0
22,14.569,20.9592,19.628,86.722,21.0745,0.918672,0.91561,,90.0,12.0
23,3.65196,28.5114,12.9101,12.7192,37.1353,1.70164,1.72403,,90.0,12.0
24,12.4104,25.7475,16.6887,5.20435,35.9378,1.7231,1.74898,,90.0,12.0
25,6.18445,22.9187,18.5829,46.8142,58.1081,1.24907,1.26319,,90.0,12.0
26,0.561921,30.8207,12.8072,86.235,118.938,2.29465,2.39635,,90.0,12.0
27,18.88,39.3772,17.0792,7.64736,119.605,5.16705,5.51314,,90.0,12.0
28,7.49724,42.2164,20.3112,15.9405,17.6009,1.84281,1.84736,,90.0,12.0
29,3.58385,40.14,16.0798,48.1949,98.07,3.29296,3.48515,,90.0,12.0
30,14.6795,31.9393,21.615,56.0081,23.0427,1.38684,1.38606,,90.0,12.0
31,2.75299,16.2996,18.9905,56.8213,49.1926,0.723678,0.724479,,90.0,12.0
32,0.87532,31.1615,17.6981,81.904,11.0619,0.962692,0.968981,,90.0,12.0
33,4.48589,43.2016,13.7236,91.3257,70.5126,2.62188,2.61927,,90.0,12.0
34,3.84362,22.0095,16.5144,56.3741,54.8022,1.11038,1.11103,,90.0,12.0
35,7.50729,31.3655,13.6935,47.7032,88.0821,2.56932,2.65246,,90.0,12.0
36,10.6131,37.1993,12.4771,35.3252,48.9044,2.63419,2.67676,,90.0,12.0
37,3.24265,39.0203,12.0246,32.2993,20.3948,1.6846,1.68541,,90.0,12.0
38,12.8284,34.8708,12.1702,75.7917,26.7746,1.66947,1.66963,,90.0,12.0
39,9.69331,29.8417,15.7207,76.6738,89.2905,2.07335,2.12718,,90.0,12.0
40,1.24815,39.1908,19.6695,9.20404,21.9138,1.57244,1.57419,,90.0,12.0
41,17.3694,23.4759,16.3815,40.8733,67.6783,1.90183,1.94085,,90.0,12.0
42,3.95435,38.8775,21.9954,57.9333,17.1032,1.43478,1.42986,,90.0,12.0
43,17.2509,28.1716,14.8994,49.3066,52.5545,1.98223,1.98872,,90.0,12.0
44,8.64921,36.7837,20.0463,9.48131,110.592,3.70312,3.93912,,90.0,12.0
45,2.48356,19.4578,19.0794,77.9718,61.3899,0.882992,0.882859,,90.0,12.0
46,13.3058,34.6806,19.5966,37.5568,106.772,3.0702,3.17522,,90.0,12.0
47,14.2122,31.9904,12.4785,59.19,15.2243,1.47513,1.47588,,90.0,12.0
48,0.706884,26.8167,20.5764,13.848,88.5886,1.91377,1.99737,,90.0,12.0
49,12.8558,25.6665,12.4215,14.96,20.7181,1.56233,1.58245,,90.0,12.0
50,14.6264,31.7724,14.6474,74.6497,37.5068,1.66007,1.6603,,90.0,12.0
51,13.0653,20.4832,18.074,25.9844,51.6827,1.43019,1.45193,,90.0,12.0
52,5.02926,34.2215,15.4233,5.98928,94.8989,3.60285,3.80032,,90.0,12.0
53,2.72378,36.0143,15.8558,7.80733,82.0061,3.28163,3.44111,,90.0,12.0
54,14.4793,20.8526,17.1783,98.7546,15.2029,0.883767,0.883629,,90.0,12.0
55,12.4296,37.8532,17.0239,56.4274,73.3693,2.6373,2.69608,,90.0,12.0
56,8.10068,15.7336,13.5746,58.5152,41.8048,0.907758,0.908645,,90.0,12.0
57,16.3675,42.1372,18.7607,78.421,53.0177,2.37944,2.37852,,90.0,12.0
58,13.8715,39.8519,15.1421,58.2456,34.5294,2.10244,2.10246,,90.0,12.0
59,18.3844,22.6563,21.6945,78.9338,2.36897,0.923828,0.923091,,90.0,12.0
60,1.92162,15.7936,17.7409,83.9419,54.4133,0.671494,0.669419,,90.0,12.0
61,2.17619,44.6621,21.9602,31.9949,40.7983,2.12432,2.12003,,90.0,12.0
62,13.5454,35.2748,18.158,60.8324,54.6368,2.03932,2.03619,,90.0,12.0
63,6.43955,27.1179,13.2793,87.0165,28.2713,1.10097,1.10004,,90.0,12.0
64,12.7,33.532,12.044,71.04,119.641,3.25176,3.42571,,90.0,12.0
65,4.56763,18.0552,14.8681,9.18895,13.2199,0.752571,0.752115,,90.0,12.0
66,15.9932,17.8715,19.6649,15.3094,3.63133,0.893183,0.890793,,90.0,12.0
67,16.3482,36.2972,12.2017,44.4564,94.5886,3.76784,3.91544,,90.0,12.0
68,11.3735,21.5876,16.1417,77.8731,16.6884,0.903358,0.905252,,90.0,12.0
69,16.76,24.1957,20.581,43.8615,78.7783,1.80655,1.84375,,90.0,12.0
70,0.850175,38.1895,19.7757,41.1438,63.8187,2.09823,2.14968,,90.0,12.0
71,11.2372,13.7848,21.2023,2.31851,118.28,1.54336,1.62237,,90.0,12.0
72,11.5294,22.7826,20.9728,93.182,33.1334,0.968369,0.966883,,90.0,12.0
73,7.90655,43.8026,15.0564,58.3017,41.0681,2.33775,2.33527,,90.0,12.0
74,6.37684,27.8955,17.6075,66.3564,14.4293,1.01799,1.01496,,90.0,12.0
75,18.8505,31.9493,21.868,86.46,79.8596,2.00196,2.00048,,90.0,12.0
76,10.4374,13.5398,16.7343,61.3438,46.1475,0.822526,0.824082,,90.0,12.0
77,3.1326,18.3268,21.7944,28.8348,46.3497,0.823706,0.825275,,90.0,12.0
78,14.3224,39.0782,13.0498,50.0553,47.7766,2.61729,2.6189,,90.0,12.0
79,1.68396,38.6152,18.3454,15.2525,97.7454,3.46602,3.6379,,90.0,12.0
80,15.4016,10.4428,19.2651,84.3087,56.7097,0.753153,0.753874,,90.0,12.0
81,18.3224,15.8624,14.7495,64.6818,87.3996,1.52444,1.54892,,90.0,12.0
82,17.4196,23.3839,16.1598,94.241,70.7189,1.56443,1.56361,,90.0,12.0
83,15.0492,26.468,15.6719,6.31379,65.3057,2.5399,2.62382,,90.0,12.0
84,7.62201,12.135,15.7513,93.8075,74.515,0.776033,0.775684,,90.0,12.0
85,0.618189,13.0675,15.7584,16.8122,98.543,1.10178,1.15759,,90.0,12.0
86,7.58745,33.4903,14.2622,99.6508,97.4544,2.26855,2.29548,,90.0,12.0
87,4.87798,34.928,15.6906,35.7377,82.0716,2.70196,2.80618,,90.0,12.0
88,17.4517,23.7322,15.9429,68.0156,99.9684,2.05097,2.09668,,90.0,12.0
89,9.63142,26.395,18.2476,60.9462,79.2761,1.7218,1.75468,,90.0,12.0
90,15.5328,12.5069,17.2229,49.2692,66.0575,1.09512,1.10969,,90.0,12.0
91,1.2875,21.782,18.3019,27.7927,93.2559,1.57345,1.63484,,90.0,12.0
92,19.3015,43.691,13.9932,2.54641,71.61,5.28758,5.47233,,90.0,12.0
