,Material 1 : Cohesion (kN/m2),Material 1 : Phi (deg),Material 1 : Unit Weight (kN/m3),Load #1 Magnitude (kN/m),Load #2 Magnitude (kN/m),Factor of Safety - spencer,Factor of Safety - gle/morgenstern-price,Unnamed: 7,slope_angle,slope_height
0,9.25214,27.0344,16.2721,25.7109,0.65198,2.35577,2.35758,,30.0,3.0
1,12.8451,13.9206,16.3404,17.2906,0.615234,2.04328,2.04351,,30.0,3.0
2,10.3626,30.1019,15.2261,89.1311,0.439082,1.79361,1.79468,,30.0,3.0
3,8.00854,27.3663,14.5454,81.8012,0.598084,1.58966,1.59232,,30.0,3.0
4,12.3133,40.8389,19.4886,75.3521,0.664819,2.75823,2.7612,,30.0,3.0
5,5.51885,13.6477,20.9262,91.5072,0.917544,0.813116,0.813124,,30.0,3.0
6,9.60849,36.6256,13.364,95.4096,0.190632,2.06889,2.07162,,30.0,3.0
7,4.88406,24.9439,12.1014,1.69703,0.0399156,2.66925,2.67078,,30.0,3.0
8,19.441,24.4347,20.2462,86.1016,0.851662,1.89489,1.89382,,30.0,3.0
9,8.72489,12.2857,20.3588,56.6237,0.0773634,1.01795,1.01923,,30.0,3.0
10,9.53946,21.5231,14.3742,64.8108,0.282261,1.47152,1.47396,,30.0,3.0
11,5.028,43.0035,19.2867,65.491,0.381935,2.68532,2.68594,,30.0,3.0
12,5.89513,30.6107,18.6819,25.342,0.152789,2.27695,2.2786,,30.0,3.0
13,18.4673,11.2863,12.7875,34.1217,0.827765,2.00871,2.00918,,30.0,3.0
14,15.5717,17.4909,21.9468,48.3004,0.330217,1.70709,1.70943,,30.0,3.0
15,5.8726,17.7398,15.9166,47.5093,0.423621,1.22459,1.22633,,30.0,3.0
16,2.55826,11.246,21.949,6.71072,0.160588,0.966785,0.964391,,30.0,3.0
17,13.5297,10.688,19.6785,88.8365,0.658677,0.965913,0.967249,,30.0,3.0
18,3.71966,13.5265,20.3903,5.62014,0.944407,1.3136,1.31519,,30.0,3.0
19,13.6633,14.8724,14.3845,8.13417,0.0370028,2.63585,2.63554,,30.0,3.0
20,14.6642,34.0562,17.8351,61.4394,0.737812,2.52714,2.5312,,30.0,3.0
